scenario,year,zone,CAR,ARTIC,RIGID,VAN,CAR_AV,ARTIC_AV,RIGID_AV,VAN_AV,TOTAL
02-HighlyConnected,2015,E07000004,2487863.47,76091.84,88098.61,571063.96,0.0,0.0,0.0,0.0,3223117.88
02-HighlyConnected,2015,E07000005,1400480.03,51425.58,50718.43,275384.85,0.0,0.0,0.0,0.0,1778008.8900000001
02-HighlyConnected,2015,E07000006,3766765.32,157819.14,160819.47,821036.24,0.0,0.0,0.0,0.0,4906440.17
02-HighlyConnected,2015,E07000007,2697192.92,110027.93,108874.58,687513.54,0.0,0.0,0.0,0.0,3603608.97
02-HighlyConnected,2015,E07000011,3754862.81,532308.85,186545.95,857699.74,0.0,0.0,0.0,0.0,5331417.35
02-HighlyConnected,2015,E07000012,4440611.51,422401.39,203198.56,1096615.25,0.0,0.0,0.0,0.0,6162826.709999999
02-HighlyConnected,2015,E07000010,742236.75,62512.28,40854.67,200045.67,0.0,0.0,0.0,0.0,1045649.3700000001
02-HighlyConnected,2015,E06000032,856098.89,46572.38,32039.63,235801.88,0.0,0.0,0.0,0.0,1170512.78
02-HighlyConnected,2015,E06000030,2540377.97,156021.52,90468.74,644366.46,0.0,0.0,0.0,0.0,3431234.6900000004
02-HighlyConnected,2015,E06000031,2362787.95,163015.8,87626.72,534165.53,0.0,0.0,0.0,0.0,3147596.0
02-HighlyConnected,2015,E07000102,2511442.99,136367.4,105231.34,501580.32,0.0,0.0,0.0,0.0,3254622.0500000003
02-HighlyConnected,2015,E07000103,509656.38,2735.58,11749.61,116339.19,0.0,0.0,0.0,0.0,640480.76
02-HighlyConnected,2015,E07000099,2095230.17,48057.25,57904.09,389889.75,0.0,0.0,0.0,0.0,2591081.26
02-HighlyConnected,2015,E07000095,674705.54,20003.24,33446.68,187889.75,0.0,0.0,0.0,0.0,916045.21
02-HighlyConnected,2015,E07000096,1781058.82,71815.13,65576.7,420333.49,0.0,0.0,0.0,0.0,2338784.14
02-HighlyConnected,2015,E07000098,2568605.1,145592.34,126499.87,666519.61,0.0,0.0,0.0,0.0,3507216.92
02-HighlyConnected,2020,E07000180,2737038.75,151422.04,124440.14,641221.66,0.0,0.0,0.0,0.0,3654122.59
02-HighlyConnected,2020,E07000181,1096426.03,30276.4,51232.09,298327.25,0.0,0.0,0.0,0.0,1476261.77
02-HighlyConnected,2020,E07000177,4819809.4,370545.7,229150.81,1241011.15,0.0,0.0,0.0,0.0,6660517.0600000005
02-HighlyConnected,2020,E07000178,665477.79,15224.56,20676.33,121413.13,0.0,0.0,0.0,0.0,822791.81
02-HighlyConnected,2020,E07000179,3056968.7,141336.64,139734.52,742596.35,0.0,0.0,0.0,0.0,4080636.2100000004
02-HighlyConnected,2020,E06000042,3429224.44,336868.12,161628.12,951066.04,0.0,0.0,0.0,0.0,4878786.720000001
02-HighlyConnected,2020,E07000154,1897212.67,58590.3,55059.37,361583.73,0.0,0.0,0.0,0.0,2372446.07
02-HighlyConnected,2020,E07000155,3617329.28,431462.65,192397.52,1066154.96,0.0,0.0,0.0,0.0,5307344.41
02-HighlyConnected,2020,E07000156,1208066.2,53014.17,42667.99,252681.72,0.0,0.0,0.0,0.0,1556430.0799999998
02-HighlyConnected,2020,E07000150,352016.02,14416.95,17068.58,96109.84,0.0,0.0,0.0,0.0,479611.39
02-HighlyConnected,2020,E07000151,3609902.67,536318.97,220766.92,1128061.66,0.0,0.0,0.0,0.0,5495050.22
